SL221 - Mayfly GPLP3 Logger
DateTime_EST,TZ-Offset,Loggertime,BoardTemp_C,Battery_V,Segment1_percent,Segment2_percent,Segment3_percent,T1_degC,T2_degC
2021-07-21 09:50:00,-5,680176200,37.8,4.02,29.4,36.0,51.2,23.0,23.4
2021-07-21 10:00:00,-5,680176800,39.5,4.08,29.4,36.0,51.2,23.1,23.5
2021-07-21 10:10:00,-5,680177400,40.3,4.08,29.4,36.0,51.2,23.1,23.5
2021-07-21 10:20:00,-5,680178000,41.8,4.09,29.4,36.0,51.2,23.1,23.4
2021-07-21 10:30:00,-5,680178600,40.0,4.08,29.4,35.9,51.1,23.1,23.4
2021-07-21 10:40:00,-5,680179200,42.8,4.09,29.4,36.0,51.2,23.0,23.3
2021-07-21 10:50:00,-5,680179800,43.8,4.08,29.4,36.0,51.2,23.1,23.3
2021-07-21 11:00:00,-5,680180400,44.8,4.09,29.4,36.0,51.2,23.1,23.3
2021-07-21 11:10:00,-5,680181000,44.8,4.09,29.4,36.0,51.2,23.2,23.3
2021-07-21 11:20:00,-5,680181600,45.5,4.09,29.4,35.9,51.2,23.3,23.3
2021-07-21 11:30:00,-5,680182200,47.3,4.09,29.5,35.9,51.1,23.1,23.3
2021-07-21 11:40:00,-5,680182800,47.3,4.09,29.4,35.9,51.2,23.2,23.4
2021-07-21 11:50:00,-5,680183400,45.5,4.09,29.4,35.9,51.2,23.3,23.4
2021-07-21 12:00:00,-5,680184000,47.0,4.09,29.5,35.9,51.1,23.3,23.3
2021-07-21 12:10:00,-5,680184600,47.0,4.09,29.5,35.9,51.1,23.3,23.3
2021-07-21 12:20:00,-5,680185200,46.8,4.09,29.5,35.9,51.1,23.3,23.1
2021-07-21 12:30:00,-5,680185800,45.5,4.09,29.5,35.9,51.1,23.5,23.3
2021-07-21 12:40:00,-5,680186400,47.5,4.09,29.5,35.9,51.0,23.5,23.1
2021-07-21 12:50:00,-5,680187000,44.3,4.09,29.5,35.9,51.1,23.3,23.3
2021-07-21 13:00:00,-5,680187600,40.0,4.08,29.5,35.9,51.1,23.4,23.3
2021-07-21 13:10:00,-5,680188200,39.8,4.08,29.5,35.9,51.1,23.3,23.2
2021-07-21 13:20:00,-5,680188800,44.3,4.09,29.6,35.9,51.0,23.5,23.3
2021-07-21 13:30:00,-5,680189400,44.8,4.09,29.6,35.9,51.0,23.4,23.4
2021-07-21 13:40:00,-5,680190000,44.3,4.09,29.6,35.9,51.1,23.5,23.4
2021-07-21 13:50:00,-5,680190600,42.0,4.09,29.6,35.9,51.1,23.6,23.4
2021-07-21 14:00:00,-5,680191200,36.8,4.08,29.6,35.9,51.1,23.6,23.4
2021-07-21 14:10:00,-5,680191800,31.8,4.08,29.6,35.9,51.1,23.4,23.3
2021-07-21 14:20:00,-5,680192400,26.3,4.08,29.6,35.9,51.1,23.4,23.3
2021-07-21 14:30:00,-5,680193000,23.3,4.08,32.0,36.3,51.3,23.5,23.2
2021-07-21 14:40:00,-5,680193600,24.3,4.09,32.0,36.3,51.3,23.6,23.3
2021-07-21 14:50:00,-5,680194200,29.5,4.08,31.9,36.3,51.3,23.6,23.3
2021-07-21 15:00:00,-5,680194800,28.5,4.08,31.9,36.3,51.3,23.6,23.3
2021-07-21 15:10:00,-5,680195400,28.5,4.09,32.0,36.3,51.3,23.6,23.5
2021-07-21 15:20:00,-5,680196000,29.8,4.09,32.0,36.3,51.3,23.6,23.2
2021-07-21 15:30:00,-5,680196600,30.3,4.09,32.0,36.4,51.3,23.7,23.2
2021-07-21 15:40:00,-5,680197200,35.8,4.09,31.9,36.3,51.3,23.6,23.3
2021-07-21 15:50:00,-5,680197800,38.0,4.09,31.9,36.4,51.3,23.7,23.3
2021-07-21 16:00:00,-5,680198400,39.0,4.09,31.9,36.4,51.3,24.0,23.3
2021-07-21 16:10:00,-5,680199000,39.3,4.09,31.9,36.3,51.2,23.7,23.3
2021-07-21 16:20:00,-5,680199600,39.3,4.09,31.9,36.3,51.2,23.8,23.3
2021-07-21 16:30:00,-5,680200200,39.3,4.09,31.9,36.3,51.2,23.6,23.1
2021-07-21 16:40:00,-5,680200800,39.0,4.09,31.8,36.4,51.3,23.6,23.1
2021-07-21 16:50:00,-5,680201400,38.0,4.09,31.8,36.4,51.3,23.7,23.4
2021-07-21 17:00:00,-5,680202000,36.0,4.09,31.8,36.4,51.2,23.7,23.3
2021-07-21 17:10:00,-5,680202600,31.8,4.09,31.8,36.4,51.3,23.7,23.3
2021-07-21 17:20:00,-5,680203200,28.8,4.09,31.8,36.4,51.3,23.7,23.3
2021-07-21 17:30:00,-5,680203800,27.8,4.09,31.8,36.4,51.3,23.8,23.3
2021-07-21 17:40:00,-5,680204400,26.5,4.08,31.8,36.4,51.3,23.6,23.5
2021-07-21 17:50:00,-5,680205000,25.5,4.08,31.8,36.4,51.3,23.8,23.3
2021-07-21 18:00:00,-5,680205600,24.8,4.08,31.8,36.4,51.2,23.7,23.2
2021-07-21 18:10:00,-5,680206200,24.0,4.08,31.8,36.4,51.3,23.7,23.3
2021-07-21 18:20:00,-5,680206800,22.3,4.08,31.8,36.4,51.3,23.7,23.3
2021-07-21 18:30:00,-5,680207400,21.3,4.08,31.8,36.4,51.2,23.8,23.3
2021-07-21 18:40:00,-5,680208000,20.8,4.08,31.8,36.4,51.3,23.8,23.4
2021-07-21 18:50:00,-5,680208600,20.5,4.08,31.7,36.4,51.3,23.7,23.4
2021-07-21 19:00:00,-5,680209200,20.5,4.08,31.8,36.4,51.2,23.8,23.3
2021-07-21 19:10:00,-5,680209800,20.3,4.08,31.7,36.5,51.3,23.8,23.3
2021-07-21 19:20:00,-5,680210400,19.8,4.08,31.7,36.5,51.3,23.8,23.3
2021-07-21 19:30:00,-5,680211000,19.3,4.08,31.7,36.5,51.3,23.7,23.3
2021-07-21 19:40:00,-5,680211600,18.5,4.08,31.7,36.5,51.3,23.8,23.3
2021-07-21 19:50:00,-5,680212200,18.0,4.08,31.7,36.5,51.3,23.8,23.4
2021-07-21 20:00:00,-5,680212800,18.0,4.08,31.7,36.4,51.2,23.8,23.3
2021-07-21 20:10:00,-5,680213400,18.0,4.08,31.6,36.5,51.3,23.8,23.3
2021-07-21 20:20:00,-5,680214000,18.0,4.08,31.6,36.5,51.3,23.7,23.4
2021-07-21 20:30:00,-5,680214600,17.5,4.08,31.6,36.5,51.3,23.7,23.4
2021-07-21 20:40:00,-5,680215200,17.5,4.08,31.5,36.5,51.3,23.8,23.4
2021-07-21 20:50:00,-5,680215800,17.3,4.08,31.5,36.5,51.3,23.7,23.3
2021-07-21 21:00:00,-5,680216400,17.3,4.08,31.5,36.5,51.3,23.8,23.5
2021-07-21 21:10:00,-5,680217000,17.3,4.08,31.5,36.4,51.2,24.0,23.2
2021-07-21 21:20:00,-5,680217600,17.0,4.08,31.4,36.5,51.3,23.8,23.4
2021-07-21 21:30:00,-5,680218200,16.5,4.08,31.4,36.5,51.3,23.6,23.5
2021-07-21 21:40:00,-5,680218800,16.3,4.08,31.4,36.4,51.2,23.8,23.4
2021-07-21 21:50:00,-5,680219400,16.3,4.08,31.4,36.5,51.3,23.7,23.5
2021-07-21 22:00:00,-5,680220000,16.0,4.08,31.4,36.4,51.2,23.7,23.4
2021-07-21 22:10:00,-5,680220600,15.8,4.08,31.3,36.5,51.3,23.6,23.3
2021-07-21 22:20:00,-5,680221200,16.0,4.08,31.3,36.4,51.3,23.7,23.5
2021-07-21 22:30:00,-5,680221800,16.0,4.08,31.3,36.4,51.3,23.7,23.4
2021-07-21 22:40:00,-5,680222400,16.0,4.08,31.2,36.4,51.3,23.5,23.4
2021-07-21 22:50:00,-5,680223000,16.0,4.08,31.2,36.4,51.3,23.6,23.4
2021-07-21 23:00:00,-5,680223600,15.8,4.08,31.2,36.4,51.3,23.6,23.5
2021-07-21 23:10:00,-5,680224200,15.5,4.08,31.2,36.4,51.3,23.6,23.3
2021-07-21 23:20:00,-5,680224800,15.5,4.08,31.2,36.4,51.3,23.6,23.5
2021-07-21 23:30:00,-5,680225400,15.0,4.08,31.1,36.4,51.3,23.5,23.4
2021-07-21 23:40:00,-5,680226000,14.8,4.08,31.1,36.4,51.3,23.6,23.4
2021-07-21 23:50:00,-5,680226600,14.8,4.08,31.1,36.4,51.2,23.5,23.4
2021-07-22 00:00:00,-5,680227200,14.8,4.08,31.0,36.4,51.3,23.5,23.4
2021-07-22 00:10:00,-5,680227800,14.5,4.08,31.0,36.4,51.3,23.5,23.3
2021-07-22 00:20:00,-5,680228400,14.3,4.08,31.0,36.4,51.3,23.5,23.5
2021-07-22 00:30:00,-5,680229000,14.0,4.08,30.9,36.4,51.3,23.5,23.5
2021-07-22 00:40:00,-5,680229600,14.0,4.08,30.9,36.4,51.3,23.5,23.3
2021-07-22 00:50:00,-5,680230200,14.3,4.08,30.9,36.4,51.3,23.4,23.3
2021-07-22 01:00:00,-5,680230800,14.3,4.08,30.9,36.3,51.2,23.4,23.5
2021-07-22 01:10:00,-5,680231400,13.8,4.08,30.8,36.3,51.3,23.4,23.5
2021-07-22 01:20:00,-5,680232000,13.8,4.08,30.8,36.3,51.2,23.4,23.3
2021-07-22 01:30:00,-5,680232600,13.8,4.08,30.8,36.3,51.3,23.2,23.4
2021-07-22 01:40:00,-5,680233200,13.5,4.08,30.7,36.3,51.3,23.3,23.5
2021-07-22 01:50:00,-5,680233800,13.8,4.08,30.7,36.3,51.3,23.2,23.5
2021-07-22 02:00:00,-5,680234400,13.5,4.08,30.7,36.3,51.3,23.2,23.4
2021-07-22 02:10:00,-5,680235000,13.5,4.08,30.7,36.3,51.3,23.3,23.3
2021-07-22 02:20:00,-5,680235600,13.3,4.08,30.6,36.3,51.3,23.2,23.3
2021-07-22 02:30:00,-5,680236200,13.3,4.08,30.6,36.2,51.3,23.2,23.5
