SL212 - Mayfly GPLP3 Logger
DateTime_EST,TZ-Offset,Loggertime,BoardTemp_C,Battery_V,Segment1_percent,Segment2_percent,Segment3_percent,T1_degC,T2_degC
2021-09-29 10:00:00,-5,686224800,34.8,4.11,12.8,12.4,17.7,19.0,19.7
2021-09-29 10:10:00,-5,686225400,38.5,4.12,12.8,12.4,17.8,19.0,20.0
2021-09-29 10:20:00,-5,686226000,38.5,4.12,12.8,12.4,17.7,19.0,19.8
2021-09-29 10:30:00,-5,686226600,39.5,4.12,12.8,12.3,17.7,19.0,19.8
2021-09-29 10:40:00,-5,686227200,42.3,4.12,12.8,12.3,17.7,19.0,19.7
2021-09-29 10:50:00,-5,686227800,39.8,4.12,12.8,12.3,17.7,19.1,19.7
2021-09-29 11:00:00,-5,686228400,40.5,4.12,12.8,12.3,17.8,19.0,19.8
2021-09-29 11:10:00,-5,686229000,41.3,4.12,12.9,12.3,17.6,19.0,19.8
2021-09-29 11:20:00,-5,686229600,41.8,4.12,12.8,12.3,17.8,19.0,19.8
2021-09-29 11:30:00,-5,686230200,42.5,4.12,12.9,12.3,17.6,19.0,19.7
2021-09-29 11:40:00,-5,686230800,42.0,4.12,13.0,12.3,17.6,19.0,19.8
2021-09-29 11:50:00,-5,686231400,42.0,4.12,13.0,12.2,17.6,19.1,19.8
2021-09-29 12:00:00,-5,686232000,44.3,4.12,13.0,12.2,17.6,19.0,19.7
2021-09-29 12:10:00,-5,686232600,44.5,4.12,13.0,12.2,17.6,19.1,19.7
2021-09-29 12:20:00,-5,686233200,44.3,4.12,13.0,12.2,17.8,19.0,19.7
2021-09-29 12:30:00,-5,686233800,44.3,4.12,13.0,12.2,17.8,19.1,20.0
2021-09-29 12:40:00,-5,686234400,41.8,4.12,13.1,12.2,17.8,19.1,19.8
2021-09-29 12:50:00,-5,686235000,41.5,4.12,13.2,12.2,17.7,19.2,19.7
2021-09-29 13:00:00,-5,686235600,37.5,4.12,13.1,12.2,17.8,19.1,19.7
2021-09-29 13:10:00,-5,686236200,37.3,4.12,13.3,12.1,17.7,19.3,19.8
2021-09-29 13:20:00,-5,686236800,38.5,4.12,13.3,12.1,17.7,19.2,19.6
2021-09-29 13:30:00,-5,686237400,33.8,4.12,13.3,12.1,17.7,19.3,19.6
2021-09-29 13:40:00,-5,686238000,28.8,4.12,13.3,12.1,17.7,19.3,19.6
2021-09-29 13:50:00,-5,686238600,29.5,4.12,13.4,12.0,17.7,19.5,19.7
2021-09-29 14:00:00,-5,686239200,29.3,4.12,13.4,12.0,17.7,19.5,19.8
2021-09-29 14:10:00,-5,686239800,36.0,4.12,13.3,12.0,17.8,19.5,19.6
2021-09-29 14:20:00,-5,686240400,36.5,4.14,13.4,12.0,17.9,19.5,19.7
2021-09-29 14:30:00,-5,686241000,34.0,4.14,13.4,12.0,17.8,19.6,19.8
2021-09-29 14:40:00,-5,686241600,36.5,4.14,13.5,11.9,17.7,19.5,19.8
2021-09-29 15:00:00,-5,686242800,34.5,4.12,13.4,11.9,17.8,19.7,19.8
2021-09-29 15:10:00,-5,686243400,31.0,4.14,13.5,11.9,17.9,19.7,19.7
2021-09-29 15:20:00,-5,686244000,31.8,4.14,13.5,11.9,17.9,19.7,19.7
2021-09-29 15:30:00,-5,686244600,32.5,4.14,13.6,11.9,17.7,19.8,19.7
2021-09-29 15:40:00,-5,686245200,27.8,4.14,13.5,11.9,17.9,19.8,19.6
2021-09-29 15:50:00,-5,686245800,23.5,4.14,13.5,11.9,17.9,19.7,19.7
2021-09-29 16:00:00,-5,686246400,22.0,4.14,13.5,11.9,17.9,20.1,19.7
2021-09-29 16:10:00,-5,686247000,21.0,4.14,13.6,11.9,17.8,20.0,19.8
2021-09-29 16:20:00,-5,686247600,20.5,4.14,13.6,11.9,17.8,20.1,19.7
2021-09-29 16:30:00,-5,686248200,19.5,4.14,13.6,11.9,17.9,20.1,19.7
2021-09-29 16:40:00,-5,686248800,18.5,4.14,13.6,11.9,17.9,20.1,19.8
2021-09-29 16:50:00,-5,686249400,17.5,4.14,13.6,11.9,17.8,20.2,19.8
2021-09-29 17:00:00,-5,686250000,16.8,4.12,13.6,11.9,17.8,20.3,19.7
2021-09-29 17:10:00,-5,686250600,16.3,4.12,13.6,11.8,17.8,20.3,19.8
2021-09-29 17:20:00,-5,686251200,15.8,4.12,13.6,11.9,17.9,20.3,19.8
2021-09-29 17:30:00,-5,686251800,15.0,4.12,13.6,11.8,17.9,20.3,19.7
2021-09-29 17:40:00,-5,686252400,14.0,4.12,13.6,11.8,17.9,20.5,19.8
2021-09-29 17:50:00,-5,686253000,13.3,4.12,13.5,11.9,18.0,20.3,19.7
2021-09-29 18:00:00,-5,686253600,12.5,4.12,13.6,11.8,17.9,20.3,19.8
2021-09-29 18:10:00,-5,686254200,12.0,4.12,13.5,11.9,18.0,20.3,19.8
2021-09-29 18:20:00,-5,686254800,11.5,4.12,13.5,11.9,18.0,20.5,19.8
2021-09-29 18:30:00,-5,686255400,11.3,4.12,13.5,11.8,17.9,20.5,19.7
2021-09-29 18:40:00,-5,686256000,11.0,4.12,13.5,11.8,17.9,20.4,19.8
2021-09-29 18:50:00,-5,686256600,11.3,4.12,13.4,11.9,18.1,20.5,20.0
2021-09-29 19:00:00,-5,686257200,11.8,4.12,13.4,11.8,18.1,20.5,19.8
2021-09-29 19:10:00,-5,686257800,12.0,4.12,13.5,11.8,18.0,20.5,19.7
2021-09-29 19:20:00,-5,686258400,12.3,4.12,13.5,11.8,18.0,20.5,19.7
2021-09-29 19:30:00,-5,686259000,12.5,4.12,13.4,11.7,18.0,20.5,19.8
2021-09-29 19:40:00,-5,686259600,12.8,4.12,13.4,11.7,18.0,20.5,20.0
2021-09-29 19:50:00,-5,686260200,12.8,4.12,13.3,11.8,18.1,20.5,20.0
2021-09-29 20:00:00,-5,686260800,12.8,4.12,13.4,11.7,18.0,20.4,19.8
2021-09-29 20:10:00,-5,686261400,12.8,4.12,13.4,11.7,18.0,20.4,19.7
2021-09-29 20:20:00,-5,686262000,13.0,4.12,13.3,11.7,18.1,20.4,19.8
2021-09-29 20:30:00,-5,686262600,13.0,4.12,13.3,11.7,18.0,20.5,19.8
2021-09-29 20:40:00,-5,686263200,12.8,4.12,13.3,11.7,18.0,20.3,20.0
2021-09-29 20:50:00,-5,686263800,12.8,4.12,13.3,11.7,18.0,20.3,19.8
2021-09-29 21:00:00,-5,686264400,12.8,4.12,13.2,11.7,18.2,20.2,20.0
2021-09-29 21:10:00,-5,686265000,12.8,4.12,13.2,11.7,18.2,20.2,19.8
2021-09-29 21:20:00,-5,686265600,12.5,4.12,13.3,11.6,18.1,20.2,20.0
2021-09-29 21:30:00,-5,686266200,12.5,4.12,13.3,11.6,18.1,20.2,20.1
2021-09-29 21:40:00,-5,686266800,12.8,4.12,13.3,11.6,18.1,20.3,19.8
2021-09-29 21:50:00,-5,686267400,12.8,4.12,13.2,11.6,18.1,20.2,20.0
2021-09-29 22:00:00,-5,686268000,12.8,4.12,13.2,11.6,18.1,20.2,19.8
2021-09-29 22:10:00,-5,686268600,12.5,4.12,13.2,11.6,18.1,20.1,20.0
2021-09-29 22:20:00,-5,686269200,12.8,4.11,13.2,11.6,18.1,20.3,20.0
2021-09-29 22:30:00,-5,686269800,12.8,4.11,13.2,11.6,18.1,20.1,20.0
2021-09-29 22:40:00,-5,686270400,12.8,4.11,13.1,11.6,18.3,20.1,19.8
2021-09-29 22:50:00,-5,686271000,12.8,4.11,13.2,11.5,18.2,20.1,20.0
2021-09-29 23:00:00,-5,686271600,12.8,4.11,13.2,11.5,18.2,20.1,20.0
2021-09-29 23:10:00,-5,686272200,12.8,4.11,13.1,11.5,18.2,20.1,20.0
2021-09-29 23:30:00,-5,686273400,12.8,4.11,13.0,11.5,18.3,20.0,20.0
2021-09-29 23:40:00,-5,686274000,12.8,4.11,13.1,11.4,18.2,20.0,20.0
2021-09-29 23:50:00,-5,686274600,12.8,4.11,13.1,11.4,18.2,20.0,20.0
2021-09-30 00:00:00,-5,686275200,12.8,4.11,13.1,11.4,18.2,20.0,20.1
2021-09-30 00:10:00,-5,686275800,12.5,4.11,13.0,11.4,18.3,20.1,19.8
2021-09-30 00:20:00,-5,686276400,12.3,4.11,13.1,11.3,18.2,19.8,19.8
2021-09-30 00:30:00,-5,686277000,12.3,4.11,13.0,11.4,18.2,19.8,20.1
