SL232 - Mayfly GPLP3 Logger
DateTime_EST,TZ-Offset,Loggertime,BoardTemp_C,Battery_V,Segment1_percent,Segment2_percent,Segment3_percent,T1_degC,T2_degC
2021-05-04 13:30:00,-5,673450200,40.8,4.14,51.0,48.5,50.1,16.8,15.3
2021-05-04 13:40:00,-5,673450800,39.8,4.26,50.9,48.4,50.1,16.7,15.5
2021-05-04 13:50:00,-5,673451400,38.8,4.26,50.9,48.4,50.0,16.7,15.3
2021-05-04 14:00:00,-5,673452000,38.3,4.26,50.9,48.4,50.1,16.7,15.5
2021-05-04 14:10:00,-5,673452600,37.0,4.26,50.9,48.4,50.1,16.8,15.3
2021-05-04 14:20:00,-5,673453200,36.3,4.26,50.8,48.5,50.0,17.0,15.5
2021-05-04 14:30:00,-5,673453800,36.5,4.26,50.8,48.5,50.0,17.0,15.5
2021-05-04 14:40:00,-5,673454400,36.8,4.26,50.8,48.5,50.0,16.8,15.5
2021-05-04 14:50:00,-5,673455000,34.8,4.26,50.8,48.5,50.0,17.0,15.5
2021-05-04 15:00:00,-5,673455600,34.3,4.26,50.7,48.5,50.0,16.8,15.5
2021-05-04 15:10:00,-5,673456200,35.0,4.26,50.7,48.5,50.0,17.0,15.5
2021-05-04 15:20:00,-5,673456800,33.0,4.26,50.7,48.5,50.1,17.0,15.5
2021-05-04 15:30:00,-5,673457400,33.0,4.26,50.7,48.6,50.1,17.0,15.5
2021-05-04 15:40:00,-5,673458000,31.0,4.26,50.6,48.6,50.1,17.1,15.5
2021-05-04 15:50:00,-5,673458600,30.3,4.26,50.6,48.6,50.0,17.2,15.5
2021-05-04 16:00:00,-5,673459200,30.0,4.26,50.5,48.6,50.0,17.2,15.4
2021-05-04 16:10:00,-5,673459800,29.8,4.26,50.5,48.6,50.1,17.2,15.5
2021-05-04 16:20:00,-5,673460400,28.3,4.26,50.5,48.6,50.0,17.3,15.5
2021-05-04 16:30:00,-5,673461000,27.8,4.26,50.4,48.6,50.0,17.2,15.6
2021-05-04 16:40:00,-5,673461600,27.5,4.26,50.4,48.6,50.1,17.2,15.6
2021-05-04 16:50:00,-5,673462200,27.8,4.26,50.4,48.6,50.1,17.2,15.6
2021-05-04 17:00:00,-5,673462800,27.3,4.26,50.3,48.6,50.1,17.5,15.5
2021-05-04 17:10:00,-5,673463400,26.8,4.26,50.3,48.6,50.1,17.2,15.6
2021-05-04 17:20:00,-5,673464000,26.8,4.26,50.3,48.6,50.1,17.3,15.6
2021-05-04 17:30:00,-5,673464600,27.0,4.26,50.3,48.6,50.1,17.5,15.5
2021-05-04 17:40:00,-5,673465200,26.8,4.26,50.2,48.6,50.1,17.5,15.6
2021-05-04 17:50:00,-5,673465800,26.8,4.26,50.2,48.6,50.1,17.5,15.7
2021-05-04 18:00:00,-5,673466400,26.3,4.26,50.2,48.7,50.1,17.3,15.7
2021-05-04 18:10:00,-5,673467000,25.8,4.26,50.2,48.7,50.1,17.6,15.6
2021-05-04 18:20:00,-5,673467600,25.0,4.26,50.2,48.7,50.1,17.5,15.5
2021-05-04 18:30:00,-5,673468200,24.8,4.26,50.1,48.7,50.1,17.3,15.5
2021-05-04 18:40:00,-5,673468800,24.8,4.26,50.1,48.7,50.1,17.5,15.6
2021-05-04 18:50:00,-5,673469400,24.3,4.26,50.1,48.7,50.1,17.5,15.6
2021-05-04 19:00:00,-5,673470000,24.3,4.26,50.1,48.7,50.1,17.5,15.6
2021-05-04 19:10:00,-5,673470600,23.8,4.26,50.1,48.7,50.1,17.5,15.6
2021-05-04 19:20:00,-5,673471200,23.5,4.26,50.1,48.7,50.1,17.5,15.6
2021-05-04 19:30:00,-5,673471800,23.3,4.26,50.0,48.7,50.1,17.5,15.7
2021-05-04 19:40:00,-5,673472400,23.0,4.26,50.0,48.7,50.1,17.6,15.7
2021-05-04 19:50:00,-5,673473000,23.0,4.26,50.0,48.7,50.1,17.5,15.7
2021-05-04 20:00:00,-5,673473600,23.0,4.26,50.0,48.7,50.1,17.6,15.7
2021-05-04 20:10:00,-5,673474200,22.8,4.26,50.0,48.7,50.1,17.6,15.7
2021-05-04 20:20:00,-5,673474800,22.5,4.26,50.0,48.7,50.1,17.6,15.7
2021-05-04 20:30:00,-5,673475400,22.3,4.26,50.0,48.7,50.1,17.6,15.6
2021-05-04 20:40:00,-5,673476000,22.3,4.26,50.0,48.7,50.1,17.6,15.6
2021-05-04 20:50:00,-5,673476600,22.3,4.25,50.0,48.7,50.1,17.7,15.7
2021-05-04 21:00:00,-5,673477200,21.5,4.26,50.0,48.7,50.0,17.7,15.7
2021-05-04 21:10:00,-5,673477800,21.0,4.25,50.0,48.7,50.0,17.6,15.7
2021-05-04 21:20:00,-5,673478400,20.8,4.25,49.9,48.8,50.0,17.6,15.7
2021-05-04 21:30:00,-5,673479000,20.8,4.25,49.9,48.8,50.2,17.7,15.8
2021-05-04 21:40:00,-5,673479600,20.5,4.25,49.9,48.8,50.2,17.6,15.7
2021-05-04 21:50:00,-5,673480200,20.5,4.25,49.8,48.8,50.2,17.6,15.7
2021-05-04 22:00:00,-5,673480800,20.5,4.25,49.8,48.8,50.2,17.7,15.8
