SL222 - Mayfly GPLP3 Logger,,,,,,,,,
DateTime_EST,TZ-Offset,Loggertime,BoardTemp_C,Battery_V,Segment1_percent,Segment2_percent,Segment3_percent,T1_degC,T2_degC
2021-07-21 10:30,-5,680178600,38.5,4.12,27.7,37.2,44.4,25,24.7
2021-07-21 10:40,-5,680179200,42.5,4.12,27.7,37.2,44.4,25,24.5
2021-07-21 10:50,-5,680179800,44.5,4.12,27.7,37.2,44.4,25.2,24.5
2021-07-21 11:00,-5,680180400,44.3,4.12,27.8,37.1,44.4,25.1,24.6
2021-07-21 11:10,-5,680181000,44.8,4.12,27.8,37.1,44.4,25.1,24.6
2021-07-21 11:20,-5,680181600,46,4.12,27.8,37.1,44.3,25.1,24.5
2021-07-21 11:30,-5,680182200,47,4.12,27.9,37.1,44.2,25.3,24.6
2021-07-21 11:40,-5,680182800,48,4.12,27.9,37.1,44.2,25.3,24.6
2021-07-21 11:50,-5,680183400,45.3,4.12,27.8,37.1,44.3,25.3,24.6
2021-07-21 12:00,-5,680184000,45.8,4.12,27.8,37.1,44.3,25.4,24.6
2021-07-21 12:10,-5,680184600,46.5,4.12,27.9,37.1,44.3,25.4,24.5
2021-07-21 12:20,-5,680185200,46.8,4.12,28,37.1,44.2,25.5,24.6
2021-07-21 12:30,-5,680185800,44,4.12,27.9,37.1,44.3,25.5,24.5
2021-07-21 12:40,-5,680186400,46,4.12,27.9,37.1,44.3,25.4,24.5
2021-07-21 12:50,-5,680187000,42.8,4.14,28,37.1,44.2,25.3,24.6
2021-07-21 13:00,-5,680187600,38,4.12,28,37.1,44.2,25.5,24.5
2021-07-21 13:10,-5,680188200,37.5,4.14,28,37.1,44.2,25.5,24.6
2021-07-21 13:20,-5,680188800,43.3,4.14,27.9,37.2,44.3,25.5,24.5
2021-07-21 13:30,-5,680189400,44.5,4.14,27.9,37.2,44.3,25.6,24.5
2021-07-21 13:40,-5,680190000,44,4.14,27.9,37.2,44.3,25.7,24.6
2021-07-21 13:50,-5,680190600,40.8,4.14,27.9,37.2,44.2,25.6,24.6
2021-07-21 14:00,-5,680191200,35,4.12,28,37.1,44.1,25.7,24.5
2021-07-21 14:10,-5,680191800,30.8,4.12,28,37.1,44.1,25.6,24.6
2021-07-21 14:20,-5,680192400,25.3,4.12,28.1,37.2,44.1,25.8,24.5
2021-07-21 14:30,-5,680193000,22,4.12,28.1,37.2,44.2,25.7,24.6
2021-07-21 14:40,-5,680193600,23.8,4.12,28,37.2,44.2,25.7,24.6
2021-07-21 14:50,-5,680194200,30.8,4.12,28,37.3,44.2,25.8,24.6
2021-07-21 15:00,-5,680194800,28.8,4.12,28,37.3,44.2,25.7,24.6
2021-07-21 15:10,-5,680195400,28.5,4.14,28,37.2,44.1,25.7,24.6
2021-07-21 15:20,-5,680196000,30.8,4.12,27.9,37.3,44.2,25.7,24.5
2021-07-21 15:30,-5,680196600,31.8,4.14,28,37.2,44.1,25.7,24.6
2021-07-21 15:40,-5,680197200,36,4.14,27.9,37.3,44.2,25.8,24.6
2021-07-21 15:50,-5,680197800,37.5,4.14,28,37.3,44.1,26,24.5
2021-07-21 16:00,-5,680198400,37.8,4.14,27.9,37.3,44.2,26,24.7
2021-07-21 16:10,-5,680199000,37.3,4.14,27.9,37.3,44.2,25.8,24.6
2021-07-21 16:20,-5,680199600,37.8,4.14,27.9,37.3,44.2,25.6,24.6
2021-07-21 16:30,-5,680200200,37.8,4.14,27.9,37.3,44.2,26,24.6
2021-07-21 16:40,-5,680200800,36.3,4.14,27.9,37.3,44.2,26,24.7
2021-07-21 16:50,-5,680201400,35.5,4.14,28,37.3,44.1,26,24.7
2021-07-21 17:00,-5,680202000,34.8,4.14,28,37.3,44.1,25.7,24.7
2021-07-21 17:10,-5,680202600,34,4.14,27.9,37.3,44.2,25.7,24.6
2021-07-21 17:20,-5,680203200,31.5,4.14,27.9,37.3,44.2,25.7,24.7
2021-07-21 17:30,-5,680203800,31.5,4.14,27.9,37.3,44.2,26,24.6
2021-07-21 17:40,-5,680204400,30,4.14,27.9,37.3,44.2,26,24.6
2021-07-21 17:50,-5,680205000,27.8,4.14,27.9,37.3,44.2,25.8,24.7
2021-07-21 18:00,-5,680205600,25.8,4.14,27.9,37.3,44.2,26,24.7
2021-07-21 18:10,-5,680206200,24.3,4.12,27.8,37.3,44.2,25.7,24.8
2021-07-21 18:20,-5,680206800,22,4.12,27.9,37.3,44.2,26,24.6
2021-07-21 18:30,-5,680207400,20.8,4.12,27.8,37.3,44.2,26.1,24.7
2021-07-21 18:40,-5,680208000,20.5,4.12,27.9,37.3,44.1,26,24.7
2021-07-21 18:50,-5,680208600,20.3,4.12,27.8,37.4,44.2,26,24.8
2021-07-21 19:00,-5,680209200,20.5,4.12,27.8,37.3,44.2,26,24.7
