SL207 - Mayfly GPLP3 Logger
DateTime_EST,TZ-Offset,Loggertime,BoardTemp_C,Battery_V,Segment1_percent,Segment2_percent,Segment3_percent,T1_degC,T2_degC
2021-07-21 10:40:00,-5,680179200,45.3,4.15,14.7,28.8,44.8,24.1,23.7
2021-07-21 10:50:00,-5,680179800,47.5,4.15,14.7,28.8,44.8,24.1,23.6
2021-07-21 11:00:00,-5,680180400,47.8,4.15,14.8,28.8,44.7,24.2,23.6
2021-07-21 11:10:00,-5,680181000,48.3,4.15,14.8,28.8,44.7,24.2,23.7
2021-07-21 11:20:00,-5,680181600,49.8,4.15,14.8,28.7,44.7,24.2,23.6
2021-07-21 11:30:00,-5,680182200,49.8,4.15,14.8,28.7,44.7,24.2,23.6
2021-07-21 11:40:00,-5,680182800,50.0,4.15,14.8,28.7,44.7,24.1,23.7
2021-07-21 11:50:00,-5,680183400,47.5,4.15,14.9,28.6,44.6,24.1,23.7
2021-07-21 12:00:00,-5,680184000,47.8,4.15,14.9,28.6,44.6,24.1,23.6
2021-07-21 12:10:00,-5,680184600,49.0,4.15,14.9,28.6,44.6,24.1,23.7
2021-07-21 12:20:00,-5,680185200,48.5,4.15,14.8,28.6,44.6,24.2,23.6
2021-07-21 12:30:00,-5,680185800,46.5,4.15,14.9,28.6,44.5,24.2,23.6
2021-07-21 12:40:00,-5,680186400,47.0,4.15,14.9,28.6,44.5,24.2,23.6
2021-07-21 12:50:00,-5,680187000,43.3,4.15,14.9,28.6,44.5,24.3,23.6
2021-07-21 13:00:00,-5,680187600,39.0,4.15,14.9,28.6,44.5,24.3,23.6
2021-07-21 13:10:00,-5,680188200,38.8,4.17,15.0,28.6,44.5,24.3,23.6
2021-07-21 13:20:00,-5,680188800,44.0,4.17,14.9,28.6,44.4,24.3,23.6
2021-07-21 13:30:00,-5,680189400,44.5,4.17,15.0,28.6,44.4,24.4,23.7
2021-07-21 13:40:00,-5,680190000,44.8,4.17,15.0,28.6,44.4,24.5,23.6
