SL223 - Mayfly GPLP3 Logger,,,,,,,,,
DateTime_EST,TZ-Offset,Loggertime,BoardTemp_C,Battery_V,Segment1_percent,Segment2_percent,Segment3_percent,T1_degC,T2_degC
2020-09-16 10:10,-5,6,31.8,4.14,20,32,43.9,16.7,19.1
2020-09-16 10:20,-5,600,33.8,4.15,20,32,43.9,16.8,19.1
2020-09-16 10:30,-5,1200,36.8,4.15,20,32,43.9,16.7,19.1
2020-09-16 10:40,-5,1800,38.5,4.15,20.1,32,43.9,16.8,19
2020-09-16 10:50,-5,2400,39,4.15,20.1,32,43.9,16.8,19
2020-09-16 11:00,-5,3000,38.8,4.15,20.2,32,43.9,16.7,19
2020-09-16 11:10,-5,3600,39.3,4.15,20.2,32,43.9,16.8,19
2020-09-16 11:20,-5,4200,36.5,4.15,20.2,32,43.9,17,19.1
2020-09-16 11:30,-5,4800,36,4.15,20.3,32,43.9,16.8,19.2
2020-09-16 11:40,-5,5400,35.5,4.15,20.3,32,43.9,16.8,18.7
2020-09-16 11:50,-5,6000,36.3,4.15,20.3,32,43.9,17,19.1
2020-09-16 12:00,-5,6600,35.8,4.15,20.4,32,43.9,16.8,19
2020-09-16 12:10,-5,7200,36.3,4.15,20.4,32,43.9,17,18.8
2020-09-16 12:20,-5,7800,37.5,4.15,20.4,32,43.9,17,18.8
2020-09-16 12:30,-5,8400,38.5,4.15,20.5,32,43.8,17,19.1
2020-09-16 12:40,-5,9000,36.8,4.15,20.5,32,43.8,17.1,18.8
2020-09-16 12:50,-5,9600,37.3,4.15,20.5,32,43.8,17.1,19.1
2020-09-16 13:00,-5,10200,35.8,4.15,20.5,32,43.8,17.1,18.7
2020-09-16 13:10,-5,10800,35.5,4.15,20.6,32,43.8,17.1,18.8
2020-09-16 13:20,-5,11400,35.5,4.15,20.6,32,43.8,17.2,18.7
2020-09-16 13:30,-5,12000,34,4.15,20.6,32,43.8,17.3,18.7
2020-09-16 13:40,-5,12600,32.8,4.15,20.6,32,43.8,17.2,18.8
2020-09-16 13:50,-5,13200,32.3,4.15,20.7,32,43.8,17.3,18.6
2020-09-16 14:00,-5,13800,31.5,4.15,20.7,32,43.8,17.3,18.7
2020-09-16 14:10,-5,14400,31,4.15,20.7,32.1,43.8,17.4,18.7
2020-09-16 14:20,-5,15000,31,4.15,20.8,32.1,43.8,17.5,18.8
2020-09-16 14:30,-5,15600,30.3,4.15,20.8,32.1,43.8,17.6,18.8
2020-09-16 14:40,-5,16200,29.3,4.15,20.8,32.1,43.8,17.6,18.7
2020-09-16 14:50,-5,16800,28.3,4.15,20.8,32.1,43.8,17.6,18.7
2020-09-16 15:00,-5,17400,28.3,4.15,20.8,32.1,43.8,17.7,18.6
2020-09-16 15:10,-5,18000,27.3,4.15,20.8,32.1,43.8,17.6,18.7
2020-09-16 15:20,-5,18600,25.8,4.15,20.8,32.1,43.8,17.7,18.8
2020-09-16 15:30,-5,19200,25,4.15,20.8,32.2,43.8,17.8,18.7
2020-09-16 15:40,-5,19800,24.8,4.15,20.8,32.2,43.8,17.8,18.8
2020-09-16 15:50,-5,20400,24.3,4.15,20.8,32.2,43.8,18,18.7
2020-09-16 16:00,-5,21000,23.8,4.15,20.8,32.2,43.8,18,18.8
2020-09-16 16:10,-5,21600,23.5,4.17,20.8,32.2,43.8,18,18.7
