SL219 - Mayfly GPLP3 Logger
DateTime_EST,TZ-Offset,Loggertime,BoardTemp_C,Battery_V,Segment1_percent,Segment2_percent,Segment3_percent,T1_degC,T2_degC
2020-06-12 12:40:00,-5,645280800,34.3,4.08,32.1,99.9,51.0,23.1,22.2
2020-06-12 12:50:00,-5,645281400,39.3,4.14,32.1,99.9,51.0,22.7,22.1
2020-06-12 13:00:00,-5,645282000,41.0,4.21,99.9,51.0,0.0,23.0,22.1
2020-06-12 13:10:00,-5,645282600,42.8,4.21,99.9,51.0,0.0,23.0,22.1
2020-06-12 13:20:00,-5,645283200,42.5,4.21,32.3,99.9,51.0,23.2,22.1
2020-06-12 13:30:00,-5,645283800,43.3,4.21,32.4,99.9,51.0,23.3,22.1
2020-06-12 13:40:00,-5,645284400,41.0,4.20,32.5,99.9,51.0,23.2,22.1
2020-06-12 13:50:00,-5,645285000,35.8,4.20,32.5,99.9,51.0,23.2,22.1
2020-06-12 14:00:00,-5,645285600,40.3,4.21,32.6,99.9,51.0,23.3,22.1
2020-06-12 14:10:00,-5,645286200,42.8,4.21,32.7,99.9,51.0,23.3,22.1
2020-06-12 14:20:00,-5,645286800,42.5,4.21,32.7,99.9,51.0,23.5,22.1
2020-06-12 14:30:00,-5,645287400,41.8,4.21,32.8,99.9,51.0,23.6,22.1
2020-06-12 14:40:00,-5,645288000,39.3,4.21,32.8,99.9,51.0,23.5,22.1
2020-06-12 14:50:00,-5,645288600,40.5,4.21,99.9,51.0,0.0,23.6,22.2
2020-06-12 15:00:00,-5,645289200,42.8,4.21,99.9,51.0,0.0,23.7,22.2
2020-06-12 15:10:00,-5,645289800,38.8,4.21,32.9,99.9,51.0,23.7,22.1
2020-06-12 15:20:00,-5,645290400,38.3,4.21,33.0,99.9,51.1,23.7,22.2
2020-06-12 15:30:00,-5,645291000,38.0,4.21,99.9,51.0,0.0,23.8,22.2
2020-06-12 15:40:00,-5,645291600,39.8,4.21,33.1,99.9,51.0,23.7,22.2
2020-06-12 15:50:00,-5,645292200,36.5,4.21,33.1,99.9,51.0,23.8,22.3
2020-06-12 16:00:00,-5,645292800,38.5,4.21,33.1,99.9,51.1,22.3,0.0
2020-06-12 16:10:00,-5,645293400,39.8,4.21,33.1,99.9,51.1,24.0,22.2
2020-06-12 16:20:00,-5,645294000,40.3,4.21,33.2,99.9,51.1,24.2,22.2
2020-06-12 16:30:00,-5,645294600,40.0,4.21,33.2,99.9,51.1,24.2,22.3
2020-06-12 16:40:00,-5,645295200,39.5,4.23,33.2,99.9,51.1,24.2,22.3
2020-06-12 16:50:00,-5,645295800,40.3,4.23,99.9,51.1,0.0,24.2,22.2
2020-06-12 17:00:00,-5,645296400,40.0,4.23,33.2,99.9,51.1,24.3,22.3
2020-06-12 17:10:00,-5,645297000,35.8,4.21,99.9,51.1,0.0,24.3,22.5
2020-06-12 17:20:00,-5,645297600,33.3,4.21,33.3,99.9,51.1,24.2,22.4
2020-06-12 17:30:00,-5,645298200,35.8,4.21,33.3,99.9,51.1,24.3,22.3
2020-06-12 17:40:00,-5,645298800,36.5,4.21,33.3,99.9,51.1,24.3,22.3
