SL219 - Mayfly GPLP3 Logger
DateTime_EST,TZ-Offset,Loggertime,BoardTemp_C,Battery_V,Segment1_percent,Segment2_percent,Segment3_percent,T1_degC,T2_degC
2021-05-04 13:10:00,-5,673449000,37.3,4.06,25.7,29.7,40.3,17.1,15.6
2021-05-04 13:20:00,-5,673449600,40.3,4.06,25.8,29.7,40.4,17.3,15.8
2021-05-04 13:30:00,-5,673450200,38.0,4.06,25.8,29.7,40.3,17.3,15.6
2021-05-04 13:40:00,-5,673450800,36.3,4.06,25.9,29.8,40.3,17.2,15.6
2021-05-04 13:50:00,-5,673451400,36.5,4.06,25.9,29.8,40.3,17.3,15.6
2021-05-04 14:00:00,-5,673452000,36.5,4.06,26.0,29.8,40.3,17.5,15.8
2021-05-04 14:10:00,-5,673452600,35.8,4.06,26.0,29.8,40.3,17.5,15.6
2021-05-04 14:20:00,-5,673453200,35.5,4.06,26.1,29.9,40.3,17.6,15.6
2021-05-04 14:30:00,-5,673453800,36.0,4.06,26.2,29.9,40.3,17.6,15.6
2021-05-04 14:40:00,-5,673454400,35.5,4.06,26.3,29.9,40.3,17.7,15.7
2021-05-04 14:50:00,-5,673455000,32.5,4.06,26.3,29.9,40.3,17.7,15.7
2021-05-04 15:00:00,-5,673455600,32.8,4.06,26.3,29.9,40.3,17.8,15.7
2021-05-04 15:10:00,-5,673456200,34.8,4.06,26.4,30.0,40.3,17.7,15.7
2021-05-04 15:20:00,-5,673456800,32.5,4.06,26.4,30.0,40.3,18.1,15.7
2021-05-04 15:30:00,-5,673457400,33.3,4.06,26.4,30.0,40.3,18.0,15.6
2021-05-04 15:40:00,-5,673458000,31.0,4.06,26.4,30.1,40.3,18.2,15.8
2021-05-04 15:50:00,-5,673458600,30.0,4.06,26.5,30.1,40.3,18.2,15.8
2021-05-04 16:00:00,-5,673459200,31.0,4.06,26.6,30.1,40.3,18.3,15.7
2021-05-04 16:10:00,-5,673459800,30.5,4.06,26.7,30.1,40.3,18.2,15.7
2021-05-04 16:20:00,-5,673460400,30.3,4.06,27.0,30.1,40.3,18.4,15.7
2021-05-04 16:30:00,-5,673461000,30.5,4.06,27.1,30.2,40.3,18.5,15.8
2021-05-04 16:40:00,-5,673461600,30.3,4.06,27.1,30.2,40.3,18.5,16.0
2021-05-04 16:50:00,-5,673462200,30.3,4.06,27.3,30.2,40.3,18.5,15.8
2021-05-04 17:00:00,-5,673462800,30.3,4.06,27.3,30.3,40.3,18.5,16.0
2021-05-04 17:10:00,-5,673463400,28.5,4.06,27.4,30.3,40.3,18.6,15.8
2021-05-04 17:20:00,-5,673464000,27.8,4.06,27.4,30.3,40.3,18.6,15.8
2021-05-04 17:30:00,-5,673464600,27.3,4.06,27.5,30.4,40.3,18.7,15.9
2021-05-04 17:40:00,-5,673465200,27.0,4.06,27.5,30.4,40.3,18.8,16.0
2021-05-04 17:50:00,-5,673465800,26.8,4.06,27.5,30.4,40.3,18.8,15.8
2021-05-04 18:00:00,-5,673466400,26.0,4.06,27.5,30.4,40.3,18.8,16.0
2021-05-04 18:10:00,-5,673467000,25.5,4.06,27.5,30.5,40.3,19.1,16.0
2021-05-04 18:20:00,-5,673467600,25.3,4.06,27.5,30.5,40.3,19.0,15.8
