SL203 - Mayfly GPLP3 Logger,,,,,,,,,
DateTime_EST,TZ-Offset,Loggertime,BoardTemp_C,Battery_V,Segment1_percent,Segment2_percent,Segment3_percent,T1_degC,T2_degC
2020-06-03 11:10,-5,644497800,29,4.08,0.6,89.9,22.4,24.2,23.3
2020-06-03 11:20,-5,644498400,25.3,4.09,4.5,89.9,22.2,20.1,19.3
2020-06-03 11:30,-5,644499000,21.3,4.09,14.6,89.9,24.1,19.2,18.6
2020-06-03 11:40,-5,644499600,20.5,4.09,14.5,89.9,27.6,19,18.5
2020-06-03 11:50,-5,644500200,20.5,4.09,14.2,89.9,27.6,18.7,18.2
2020-06-03 12:00,-5,644500800,20.3,4.09,14.2,89.9,27.7,18.8,18.2
2020-06-03 12:10,-5,644501400,20.5,4.09,14.4,89.9,27.7,19,18.2
2020-06-03 12:20,-5,644502000,21.8,4.09,14.5,89.9,27.8,18.8,18.3
2020-06-03 12:30,-5,644502600,23.5,4.09,14.5,89.9,27.8,18.7,18.2
2020-06-03 12:40,-5,644503200,26,4.09,14.5,89.9,27.9,19,18.3
2020-06-03 12:50,-5,644503800,30,4.11,14.5,89.9,27.9,18.8,18.2
2020-06-03 13:00,-5,644504400,33.5,4.11,14.5,89.9,27.9,19,18.1
2020-06-03 13:10,-5,644505000,36.3,4.11,14.5,89.9,27.9,18.7,18.1
2020-06-03 13:20,-5,644505600,37.3,4.11,14.4,89.9,28,19,18.2
2020-06-03 13:30,-5,644506200,37.8,4.11,14.3,89.9,28,19,18.3
2020-06-03 13:40,-5,644506800,39.8,4.11,14.2,89.9,28,19,18.2
2020-06-03 13:50,-5,644507400,40.5,4.11,14.1,89.9,28,19.1,18.2
2020-06-03 14:00,-5,644508000,42,4.11,14,89.9,28.1,19.1,18
2020-06-03 14:10,-5,644508600,41.5,4.11,14,89.9,28.1,19.1,18
2020-06-03 14:20,-5,644509200,42,4.11,14,89.9,28.1,19.2,18.1
2020-06-03 14:30,-5,644509800,42.5,4.11,13.9,89.9,28.1,19.3,18.1
2020-06-03 14:40,-5,644510400,44,4.11,13.9,89.9,28.1,19.2,18.1
2020-06-03 14:50,-5,644511000,44.5,4.11,14,89.9,28.2,19.3,18.1
2020-06-03 15:00,-5,644511600,43.3,4.11,14,89.9,28.2,19.2,18.1
2020-06-03 15:10,-5,644512200,43.8,4.11,14,89.9,28.2,19.3,18.1
2020-06-03 15:20,-5,644512800,45.3,4.11,13.9,89.9,28.2,19.5,18.1
2020-06-03 15:30,-5,644513400,46.3,4.11,13.9,89.9,28.2,19.4,18.2
2020-06-03 15:40,-5,644514000,45.5,4.11,13.9,89.9,28.3,19.5,18.1
2020-06-03 15:50,-5,644514600,40.3,4.11,13.9,89.9,28.3,19.7,18.1
2020-06-03 16:00,-5,644515200,41.5,4.11,13.9,89.9,28.3,19.7,18.2
2020-06-03 16:10,-5,644515800,45,4.11,13.8,89.9,28.3,19.7,18.3
2020-06-03 16:20,-5,644516400,46.5,4.11,13.8,89.9,28.3,19.7,18.3
2020-06-03 16:30,-5,644517000,47,4.11,13.8,89.9,28.3,19.8,18.2
2020-06-03 16:40,-5,644517600,46.8,4.11,13.8,89.9,28.3,20,18.1
2020-06-03 16:50,-5,644518200,44.8,4.11,13.9,89.9,28.4,20.2,18.1
2020-06-03 17:00,-5,644518800,40.5,4.11,13.9,89.9,28.4,20.1,18.2
2020-06-03 17:10,-5,644519400,40.5,4.11,13.9,89.9,28.4,20.2,18.2
2020-06-03 17:20,-5,644520000,43.3,4.11,13.9,89.9,28.4,20.3,18.2
2020-06-03 17:30,-5,644520600,43.5,4.11,14,89.9,28.5,20.3,18.2
2020-06-03 17:40,-5,644521200,40.8,4.11,14,89.9,28.5,20.3,18.3
2020-06-03 17:50,-5,644521800,36.3,4.11,14,89.9,28.5,20.3,18.2
2020-06-03 18:00,-5,644522400,33.3,4.11,14,89.9,28.5,20.3,18.2
2020-06-03 18:10,-5,644523000,27.3,4.11,15,89.9,28.5,20.3,18.3
2020-06-03 18:20,-5,644523600,21.3,4.11,23.8,89.9,29.1,20.3,18.3
2020-06-03 18:30,-5,644524200,20.3,4.11,37.5,89.9,44.2,21.2,18.8
2020-06-03 18:40,-5,644524800,20.3,4.11,29.4,89.9,41.6,21.3,18.6
2020-06-03 18:50,-5,644525400,20,4.11,26.9,89.9,39.8,21.2,18.6
2020-06-03 19:00,-5,644526000,19.8,4.11,25.3,89.9,39.1,21,18.6
2020-06-03 19:10,-5,644526600,19.5,4.11,24.2,89.9,38.9,21.2,18.7
2020-06-03 19:20,-5,644527200,19.3,4.11,23.3,89.9,38.8,21.1,18.5
2020-06-03 19:30,-5,644527800,19.3,4.11,22.6,89.9,38.8,21.2,18.7
2020-06-03 19:40,-5,644528400,19.3,4.11,22.1,89.9,38.8,21.1,18.6
2020-06-03 19:50,-5,644529000,19,4.11,21.8,89.9,38.8,21.2,18.6
2020-06-03 20:00,-5,644529600,19.3,4.11,21.6,89.9,38.9,21.1,18.7
2020-06-03 20:10,-5,644530200,19.3,4.11,21.4,89.9,38.9,21.1,18.7
2020-06-03 20:20,-5,644530800,19.3,4.11,21.2,89.9,39,21.2,18.8
2020-06-03 20:30,-5,644531400,19.3,4.11,21.1,89.9,39,21.2,18.7
2020-06-03 20:40,-5,644532000,19.3,4.11,21,89.9,39,21.1,18.6
2020-06-03 20:50,-5,644532600,19.3,4.11,20.9,89.9,39,21.1,18.8
2020-06-03 21:00,-5,644533200,19.5,4.11,20.7,89.9,39.1,21.2,18.7
2020-06-03 21:10,-5,644533800,19.5,4.11,20.7,89.9,39.1,21.2,18.7
2020-06-03 21:20,-5,644534400,19.5,4.11,20.6,89.9,39.1,21.1,18.7
