SL203 - Mayfly GPLP3 Logger,,,,,,,,,
DateTime_EST,TZ-Offset,Loggertime,BoardTemp_C,Battery_V,Segment1_percent,Segment2_percent,Segment3_percent,T1_degC,T2_degC
2020-06-12 12:00,-5,7,32.5,4.12,27.6,89.9,47.8,22.3,21.6
2020-06-12 12:10,-5,600,35.8,4.14,27.6,89.9,47.8,22.2,21.6
2020-06-12 12:20,-5,1200,37.3,4.14,28.3,89.9,47.8,22.2,21.6
2020-06-12 12:30,-5,1800,38.5,4.14,28.4,89.9,47.8,22.3,21.6
2020-06-12 12:40,-5,2400,39.8,4.14,28.3,89.9,47.8,22.4,21.6
2020-06-12 12:50,-5,3000,38.8,4.15,28.4,89.9,47.8,22.4,21.6
2020-06-12 13:00,-5,3600,39.3,4.14,28.4,89.9,47.8,22.5,21.6
2020-06-12 13:10,-5,4200,39.5,4.15,28.4,89.9,47.8,22.6,21.6
2020-06-12 13:20,-5,4800,40.5,4.15,28.4,89.9,47.8,22.7,21.5
2020-06-12 13:30,-5,5400,41.5,4.15,28.4,89.9,47.8,22.6,21.5
2020-06-12 13:40,-5,6000,41.8,4.15,28.5,89.9,47.8,22.6,21.5
2020-06-12 13:50,-5,6600,42.5,4.15,28.5,89.9,47.8,22.6,21.3
2020-06-12 14:00,-5,7200,40.8,4.15,28.6,89.9,47.8,22.7,21.5
2020-06-12 14:10,-5,7800,35.8,4.14,28.6,89.9,47.8,22.7,21.7
2020-06-12 14:20,-5,8400,41,4.15,28.6,89.9,47.8,22.8,21.6
2020-06-12 14:30,-5,9000,40.8,4.15,28.7,89.9,47.8,22.7,21.5
2020-06-12 14:40,-5,9600,41.8,4.15,28.7,89.9,47.8,22.7,21.5
2020-06-12 14:50,-5,10200,40.3,4.15,28.8,89.9,47.8,23,21.6
2020-06-12 15:00,-5,10800,39.3,4.15,28.7,89.9,47.8,23.2,21.5
2020-06-12 15:10,-5,11400,42,4.15,28.7,89.9,47.8,23.2,21.6
2020-06-12 15:20,-5,12000,43.5,4.15,28.7,89.9,47.8,23.1,21.5
2020-06-12 15:30,-5,12600,38.5,4.15,28.8,89.9,47.8,23.2,21.5
2020-06-12 15:40,-5,13200,38,4.15,28.8,89.9,47.8,23.3,21.7
2020-06-12 15:50,-5,13800,40.5,4.15,28.8,89.9,47.8,23.2,21.7
2020-06-12 16:00,-5,14400,42,4.15,28.8,89.9,47.8,23.4,21.5
2020-06-12 16:10,-5,15000,38.3,4.15,28.8,89.9,47.8,23.3,21.6
2020-06-12 16:20,-5,15600,40.5,4.15,28.9,89.9,47.8,23.3,21.5
2020-06-12 16:30,-5,16200,41.8,4.15,28.8,89.9,47.8,23.5,21.5
2020-06-12 16:40,-5,16800,42,4.15,28.8,89.9,47.9,23.6,21.7
2020-06-12 16:50,-5,17400,41.3,4.15,28.8,89.9,48.8,23.6,21.6
2020-06-12 17:00,-5,18000,40.5,4.15,28.8,89.9,48.7,23.6,21.6
2020-06-12 17:10,-5,18600,41.8,4.15,28.8,89.9,48.7,23.7,21.8
2020-06-12 17:20,-5,19200,41.3,4.15,28.8,89.9,48.7,23.6,21.6
2020-06-12 17:30,-5,19800,36.8,4.14,28.7,89.9,48.6,23.8,21.7
2020-06-12 17:40,-5,20400,34.8,4.15,28.7,89.9,48.1,23.7,21.6
2020-06-12 17:50,-5,21000,37.8,4.15,28.7,89.9,48.1,23.7,21.7
2020-06-12 18:00,-5,21600,38.5,4.15,28.7,89.9,48.1,23.7,21.8
2020-06-12 18:10,-5,22200,37.5,4.15,28.7,89.9,47.8,23.6,21.8
2020-06-12 18:20,-5,22800,36.8,4.15,28.7,89.9,47.8,23.7,21.8
2020-06-12 18:30,-5,23400,35.8,4.15,28.7,89.9,47.8,23.8,21.7
2020-06-12 18:40,-5,24000,35.5,4.15,28.6,89.9,47.8,23.7,21.7
2020-06-12 18:50,-5,24600,34.5,4.15,28.6,89.9,48.4,23.7,21.9
2020-06-12 19:00,-5,25200,33.5,4.15,28.6,89.9,48.7,23.7,21.8
2020-06-12 19:10,-5,25800,32,4.15,28.5,89.9,48.7,23.8,21.7
2020-06-12 19:20,-5,26400,30.3,4.15,28.5,89.9,48.7,23.7,21.8
2020-06-12 19:30,-5,27000,28.3,4.14,28.5,89.9,48.5,24.1,22
2020-06-12 19:40,-5,27600,26.8,4.14,28.4,89.9,48.5,23.8,21.9
2020-06-12 19:50,-5,28200,25,4.14,28.4,89.9,48.5,23.7,22
2020-06-12 20:00,-5,28800,23.8,4.14,28.3,89.9,47.8,23.7,21.7
2020-06-12 20:10,-5,29400,23,4.14,28.3,89.9,47.8,23.8,21.8
2020-06-12 20:20,-5,30000,22.3,4.14,28.3,89.9,47.8,24,22
2020-06-12 20:30,-5,30600,21.5,4.14,28.3,89.9,47.8,23.7,21.8
2020-06-12 20:40,-5,31200,21.3,4.14,28.3,89.9,47.8,23.8,21.8
2020-06-12 20:50,-5,31800,21,4.14,28.5,89.9,47.8,24.1,21.8
2020-06-12 21:00,-5,32400,20.8,4.14,28.4,89.9,47.8,24.1,21.8
2020-06-12 21:10,-5,33000,20.8,4.14,28.2,89.9,47.8,23.8,22
2020-06-12 21:20,-5,33600,20.3,4.14,28.1,89.9,47.8,23.8,22
2020-06-12 21:30,-5,34200,20,4.14,28.1,89.9,47.8,23.8,22.2
2020-06-12 21:40,-5,34800,19.8,4.14,28.4,89.9,47.8,23.8,22.1
2020-06-12 21:50,-5,35400,19.5,4.14,28.2,89.9,47.8,23.7,22
2020-06-12 22:00,-5,36000,19.5,4.14,28,89.9,47.8,23.7,22.1
2020-06-12 22:10,-5,36600,19.3,4.14,28,89.9,47.8,23.6,22
2020-06-12 22:20,-5,37200,19,4.14,28.4,89.9,47.8,23.7,22.1
2020-06-12 22:30,-5,37800,19,4.14,28.4,89.9,47.8,23.7,21.8
2020-06-12 22:40,-5,38400,18.5,4.14,28,89.9,47.8,23.7,22
2020-06-12 22:50,-5,39000,18.3,4.14,28.2,89.9,47.8,23.7,22
2020-06-12 23:00,-5,39600,18,4.14,28,89.9,47.8,23.7,22.1
2020-06-12 23:10,-5,40200,17.8,4.14,28,89.9,47.8,23.6,22.1
2020-06-12 23:20,-5,40800,17.8,4.14,27.9,89.9,47.8,23.6,22.1
2020-06-12 23:30,-5,41400,17.8,4.14,27.9,89.9,47.8,23.6,22
2020-06-12 23:40,-5,42000,17.5,4.14,27.9,89.9,47.8,23.6,22.2
2020-06-12 23:50,-5,42600,17,4.14,27.8,89.9,47.8,23.6,22
2020-06-13 0:00,-5,43200,17,4.14,27.8,89.9,47.8,23.5,22.1
2020-06-13 0:10,-5,43800,17.5,4.14,27.8,89.9,47.8,23.5,22.1
2020-06-13 0:20,-5,44400,17.8,4.14,27.7,89.9,47.8,23.4,22.2
2020-06-13 0:30,-5,45000,17.5,4.14,27.7,89.9,47.8,23.3,22
2020-06-13 0:40,-5,45600,17.5,4.14,27.7,89.9,47.8,23.3,22.1
2020-06-13 0:50,-5,46200,17.8,4.14,27.7,89.9,47.8,23.2,22.2
2020-06-13 1:00,-5,46800,17.8,4.14,27.8,89.9,47.9,23.2,22
2020-06-13 1:10,-5,47400,17.5,4.14,27.6,89.9,47.9,23.3,22.1
2020-06-13 1:20,-5,48000,17.3,4.14,27.6,89.9,47.8,23.3,22
2020-06-13 1:30,-5,48600,17,4.14,27.5,89.9,47.9,23.2,22.1
