SL203 - Mayfly GPLP3 Logger
DateTime_EST,TZ-Offset,Loggertime,BoardTemp_C,Battery_V,Segment1_percent,Segment2_percent,Segment3_percent,T1_degC,T2_degC
2021-05-04 12:40:00,-5,673447200,35.0,4.09,41.6,17.5,18.3,16.7,15.2
2021-05-04 12:50:00,-5,673447800,37.0,4.09,41.6,17.5,18.5,16.8,15.2
2021-05-04 13:00:00,-5,673448400,38.0,4.09,41.6,17.6,18.4,17.0,15.2
2021-05-04 13:10:00,-5,673449000,39.3,4.09,41.7,17.6,18.4,17.1,15.2
2021-05-04 13:20:00,-5,673449600,39.5,4.09,41.8,17.6,18.4,17.2,15.3
2021-05-04 13:30:00,-5,673450200,38.0,4.09,41.8,17.6,18.4,17.3,15.2
2021-05-04 13:40:00,-5,673450800,35.8,4.09,41.9,17.7,18.4,17.5,15.3
2021-05-04 13:50:00,-5,673451400,35.3,4.09,42.1,17.7,18.4,17.6,15.2
2021-05-04 14:00:00,-5,673452000,34.8,4.09,42.1,17.7,18.4,17.8,15.3
2021-05-04 14:10:00,-5,673452600,34.5,4.09,42.1,17.8,18.4,17.8,15.3
2021-05-04 14:20:00,-5,673453200,35.5,4.09,42.1,17.8,18.4,17.8,15.2
2021-05-04 14:30:00,-5,673453800,35.0,4.09,42.2,17.8,18.4,18.1,15.3
2021-05-04 14:40:00,-5,673454400,34.3,4.09,42.3,17.9,18.4,18.1,15.5
2021-05-04 14:50:00,-5,673455000,33.0,4.09,42.3,17.9,18.3,18.2,15.2
2021-05-04 15:00:00,-5,673455600,33.3,4.09,42.3,17.9,18.4,18.3,15.6
2021-05-04 15:10:00,-5,673456200,35.5,4.09,42.3,17.9,18.3,18.5,15.3
2021-05-04 15:20:00,-5,673456800,33.5,4.09,42.3,18.0,18.3,18.5,15.6
2021-05-04 15:30:00,-5,673457400,34.3,4.09,42.4,18.1,18.3,18.6,15.5
2021-05-04 15:40:00,-5,673458000,33.0,4.09,42.4,18.1,18.3,18.7,15.6
2021-05-04 15:50:00,-5,673458600,32.0,4.09,42.3,18.1,18.4,18.8,15.7
2021-05-04 16:00:00,-5,673459200,33.8,4.09,42.3,18.1,18.4,18.8,15.5
2021-05-04 16:10:00,-5,673459800,33.3,4.09,42.3,18.2,18.4,18.8,15.7
2021-05-04 16:20:00,-5,673460400,33.5,4.09,42.3,18.2,18.4,19.0,15.7
2021-05-04 16:30:00,-5,673461000,33.3,4.09,42.3,18.2,18.4,19.0,15.5
2021-05-04 16:40:00,-5,673461600,33.3,4.09,42.4,18.3,18.4,19.1,15.6
2021-05-04 16:50:00,-5,673462200,32.8,4.09,42.3,18.3,18.4,19.1,15.8
2021-05-04 17:00:00,-5,673462800,32.8,4.09,42.3,18.3,18.4,19.1,15.6
2021-05-04 17:10:00,-5,673463400,30.5,4.09,42.3,18.4,18.4,19.3,15.8
2021-05-04 17:20:00,-5,673464000,29.8,4.09,42.3,18.4,18.4,19.3,16.0
2021-05-04 17:30:00,-5,673464600,29.0,4.09,42.3,18.4,18.4,19.3,15.7
2021-05-04 17:40:00,-5,673465200,28.5,4.09,42.3,18.4,18.4,19.3,15.7
2021-05-04 17:50:00,-5,673465800,28.3,4.09,42.3,18.4,18.4,19.3,15.8
2021-05-04 18:00:00,-5,673466400,27.3,4.09,42.3,18.5,18.4,19.5,15.7
2021-05-04 18:10:00,-5,673467000,26.3,4.09,42.2,18.5,18.4,19.5,15.8
2021-05-04 18:20:00,-5,673467600,25.5,4.09,42.2,18.5,18.4,19.5,16.0
2021-05-04 18:30:00,-5,673468200,25.0,4.09,42.2,18.5,18.4,19.5,16.0
2021-05-04 18:40:00,-5,673468800,24.5,4.09,42.1,18.6,18.4,19.5,16.0
2021-05-04 18:50:00,-5,673469400,24.0,4.09,42.1,18.6,18.4,19.6,16.2
2021-05-04 19:00:00,-5,673470000,23.5,4.09,42.1,18.6,18.4,19.6,15.9
2021-05-04 19:10:00,-5,673470600,23.0,4.09,42.0,18.6,18.4,19.6,16.1
2021-05-04 19:20:00,-5,673471200,22.8,4.09,42.1,18.5,18.3,19.6,16.0
2021-05-04 19:30:00,-5,673471800,22.8,4.09,41.9,18.6,18.3,19.7,16.0
2021-05-04 19:40:00,-5,673472400,22.5,4.09,41.9,18.6,18.4,19.6,16.0
2021-05-04 19:50:00,-5,673473000,22.5,4.09,41.9,18.6,18.4,19.6,16.1
2021-05-04 20:00:00,-5,673473600,22.3,4.09,41.9,18.6,18.3,19.6,16.3
2021-05-04 20:10:00,-5,673474200,22.0,4.09,41.8,18.7,18.3,19.6,16.1
2021-05-04 20:20:00,-5,673474800,21.8,4.09,41.8,18.7,18.4,19.6,16.1
2021-05-04 20:30:00,-5,673475400,22.0,4.09,41.7,18.7,18.4,19.6,16.3
2021-05-04 20:40:00,-5,673476000,21.8,4.09,41.7,18.7,18.4,19.6,16.2
2021-05-04 20:50:00,-5,673476600,21.5,4.09,41.7,18.6,18.3,19.6,16.3
2021-05-04 21:00:00,-5,673477200,21.0,4.09,41.6,18.7,18.3,19.5,16.5
2021-05-04 21:10:00,-5,673477800,20.8,4.09,41.6,18.7,18.5,19.5,16.3
2021-05-04 21:20:00,-5,673478400,20.3,4.09,41.6,18.7,18.5,19.5,16.3
2021-05-04 21:30:00,-5,673479000,20.0,4.09,41.6,18.7,18.4,19.5,16.3
2021-05-04 21:40:00,-5,673479600,19.8,4.09,41.6,18.7,18.5,19.5,16.5
2021-05-04 21:50:00,-5,673480200,19.8,4.09,41.5,18.7,18.5,19.5,16.5
2021-05-04 22:00:00,-5,673480800,19.5,4.09,41.5,18.7,18.5,19.3,16.6
2021-05-04 22:10:00,-5,673481400,19.5,4.09,41.5,18.7,18.5,19.4,16.6
