"Site","value","parameter","Binned_Date","Date"
"SP_OT_11A",1.92,"NH4Nstock","Aug_2020",2020-08-19
"SP_OT_11B",2.335,"NH4Nstock","Aug_2020",2020-08-19
"SP_OT_11C",1.77,"NH4Nstock","Aug_2020",2020-08-19
"SP_OT_11D",1.68,"NH4Nstock","Aug_2020",2020-08-19
"SP_OT_12A",11.145,"NH4Nstock","Aug_2020",2020-08-19
"SP_OT_12B",12.045,"NH4Nstock","Aug_2020",2020-08-19
"SP_OT_12C",7.495,"NH4Nstock","Aug_2020",2020-08-19
"SP_OT_12D",7.615,"NH4Nstock","Aug_2020",2020-08-19
"SP_ONT_21A",1.345,"NH4Nstock","Aug_2020",2020-08-19
"SP_ONT_21B",1.38,"NH4Nstock","Aug_2020",2020-08-19
"SP_ONT_21C",2.045,"NH4Nstock","Aug_2020",2020-08-19
"SP_ONT_21D",2.455,"NH4Nstock","Aug_2020",2020-08-19
"SP_ONT_22A",1.785,"NH4Nstock","Aug_2020",2020-08-19
"SP_ONT_22B",1.915,"NH4Nstock","Aug_2020",2020-08-19
"SP_ONT_22C",11.04,"NH4Nstock","Aug_2020",2020-08-19
"SP_ONT_22D",7.47,"NH4Nstock","Aug_2020",2020-08-19
"SP_COV_31A",8.29,"NH4Nstock","Aug_2020",2020-08-19
"SP_COV_31B",1.955,"NH4Nstock","Aug_2020",2020-08-19
"SP_COV_31C",2.345,"NH4Nstock","Aug_2020",2020-08-19
"SP_COV_31D",2.38,"NH4Nstock","Aug_2020",2020-08-19
"SP_COV_32A",13.005,"NH4Nstock","Aug_2020",2020-08-19
"SP_COV_32B",12.465,"NH4Nstock","Aug_2020",2020-08-19
"SP_COV_32C",16.515,"NH4Nstock","Aug_2020",2020-08-19
"SP_COV_32D",17.4,"NH4Nstock","Aug_2020",2020-08-19
"SP_COS_41A",2.065,"NH4Nstock","Aug_2020",2020-08-19
"SP_COS_41B",8.365,"NH4Nstock","Aug_2020",2020-08-19
"SP_COS_41C",8.545,"NH4Nstock","Aug_2020",2020-08-19
"SP_COS_41D",3.21,"NH4Nstock","Aug_2020",2020-08-19
"SP_COS_42A",2.335,"NH4Nstock","Aug_2020",2020-08-19
"SP_COS_42B",14.405,"NH4Nstock","Aug_2020",2020-08-19
"SP_COS_42C",15.68,"NH4Nstock","Aug_2020",2020-08-19
"SP_COS_42D",18.785,"NH4Nstock","Aug_2020",2020-08-19
"SP_OT_11A",4.69,"NO3Nstock","Aug_2020",2020-08-19
"SP_OT_11B",2.695,"NO3Nstock","Aug_2020",2020-08-19
"SP_OT_11C",4.315,"NO3Nstock","Aug_2020",2020-08-19
"SP_OT_11D",1.495,"NO3Nstock","Aug_2020",2020-08-19
"SP_OT_12A",2.195,"NO3Nstock","Aug_2020",2020-08-19
"SP_OT_12B",5.035,"NO3Nstock","Aug_2020",2020-08-19
"SP_OT_12C",1.325,"NO3Nstock","Aug_2020",2020-08-19
"SP_OT_12D",1.315,"NO3Nstock","Aug_2020",2020-08-19
"SP_ONT_21A",2.75,"NO3Nstock","Aug_2020",2020-08-19
"SP_ONT_21B",2.205,"NO3Nstock","Aug_2020",2020-08-19
"SP_ONT_21C",4.12,"NO3Nstock","Aug_2020",2020-08-19
"SP_ONT_21D",5.89,"NO3Nstock","Aug_2020",2020-08-19
"SP_ONT_22A",3,"NO3Nstock","Aug_2020",2020-08-19
"SP_ONT_22B",2.64,"NO3Nstock","Aug_2020",2020-08-19
"SP_ONT_22C",1.78,"NO3Nstock","Aug_2020",2020-08-19
"SP_ONT_22D",1.255,"NO3Nstock","Aug_2020",2020-08-19
"SP_COV_31A",1.785,"NO3Nstock","Aug_2020",2020-08-19
"SP_COV_31B",1.205,"NO3Nstock","Aug_2020",2020-08-19
"SP_COV_31C",5.87,"NO3Nstock","Aug_2020",2020-08-19
"SP_COV_31D",3.605,"NO3Nstock","Aug_2020",2020-08-19
"SP_COV_32A",2.14,"NO3Nstock","Aug_2020",2020-08-19
"SP_COV_32B",1.83,"NO3Nstock","Aug_2020",2020-08-19
"SP_COV_32C",3.545,"NO3Nstock","Aug_2020",2020-08-19
"SP_COV_32D",4.26,"NO3Nstock","Aug_2020",2020-08-19
"SP_COS_41A",1.8,"NO3Nstock","Aug_2020",2020-08-19
"SP_COS_41B",1.485,"NO3Nstock","Aug_2020",2020-08-19
"SP_COS_41C",1.325,"NO3Nstock","Aug_2020",2020-08-19
"SP_COS_41D",1.985,"NO3Nstock","Aug_2020",2020-08-19
"SP_COS_42A",2.17,"NO3Nstock","Aug_2020",2020-08-19
"SP_COS_42B",2.385,"NO3Nstock","Aug_2020",2020-08-19
"SP_COS_42C",2.67,"NO3Nstock","Aug_2020",2020-08-19
